cntry_name,nov20,dic20,enero21,feb21,marzo21,abril21,mayo21,junio21,julio21,agost21,sep21,
Austria,275,310,332,318,307,320,303,287,277,268,240,
Belgium,290,302,327,342,344,334,327,323,322,328,323,
Bulgaria,176,184,196,198,192,179,178,177,181,183,178,
Croatia,153,153,142,140,141,148,152,142,138,136,131,
Cyprus,36,36,32,33,36,45,49,38,23,19,16,
Czechia,157,169,171,168,181,173,166,150,140,151,140,
Denmark,179,182,182,181,171,163,154,141,134,135,140,
Estonia,52,47,50,47,45,44,46,46,45,42,41,
Finland,216,224,229,219,207,234,228,213,216,198,212,
France,2363,2306,2341,2398,2433,2511,2501,2414,416,2.385,2284,
Germany,1757,1728,1696,1662,1624,1586,1548,1513,1482,1458,1442,
Greece,742,720,721,723,760,781,738,692,658,656,625,
Hungary,207,202,217,215,190,197,203,198,198,198,173,
Ireland,150,149,167,183,192,190,175,159,146,138,134,
Italy,2404,2440,2533,2517,2488,2541,2471,2354,2322,2320,2293,
Latvia,78,76,73,72,71,72,73,73,70,66,63,
Lithuania,137,137,109,100,94,106,113,113,111,106,99,
Luxembourg,20,20,20,20,20,20,19,18,18,17,17,
Malta,12,12,11,11,11,10,9,9,9,9,9,
Netherlands,378,368,337,340,326,316,309,297,289,301,292,
Poland,545,581,625,670,672,644,621,598,582,575,574,
Portugal,368,346,352,346,334,354,362,353,340,325,331,
Romania,459,468,490,489,485,448,431,408,420,428,416,
Slovakia,193,194,189,190,194,192,191,186,182,177,171,
Slovenia,55,55,53,51,49,48,46,43,41,40,40,
Spain,3715,3726,3615,3595,3523,3570,3578,3573,3500,3447,3406,
Sweden,462,493,490,495,521,502,506,525,464,489,494,
